Ime,Drzava,Datum ustanovitve,Opis
Reality Pump Studios,Poland,1995,Division of TopWare Interactive
Realtime Associates,United States,1986,
Realtime Worlds,United Kingdom,2002,Closed in 2010
Rebellion Developments,United Kingdom,1992,
Rebellion Warwick,United Kingdom,2013,Formed by former employees of Blitz Games Studios; acquired by Rebellion Developments in 2018
Red Ant Enterprises,Australia,2001,Local distributor for other publishers' games. Defunct in 2011.
Red Entertainment,Japan,"1976 (as the Red Company), 2000 (as Red Entertainment)",Developer/publisher; acquired by Oizumi Corporation [ja] in 2014
Red Orb Entertainment,United States,1997,"Label of Broderbund, and of Mindscape from 1998 onward. Defunct in 2001 following acquisition by Ubisoft."
Red Shift,England,1983,Defunct in 1985.
Red Storm Entertainment,United States,1996,Acquired by Ubisoft in 2000
Red Thread Games,Norway,2012,Founded by former employees of Funcom
RedLynx,Finland,2000,Subsidiary of Ubisoft
RedOctane,United States,1999,Acquired by Activision in 2006; defunct in 2010.
RedTribe (Tribalant),Australia,2003,
Reflexive Entertainment,United States,1997,Subsidiary of Amazon.com
Regista,Japan,2004,
Relic Entertainment,Canada,1997,Acquired by Sega in 2013
Remedy Entertainment,Finland,1995,
Renegade Software,UK,1991,Publishing arm of The Bitmap Brothers. Acquired by GT Interactive in 1997.
Renovation Products,United States,1990,Acquired by Sega
Respawn Entertainment,United States,2010,Acquired by Electronic Arts in 2017.
Reto-Moto,Denmark,2008,
Retro Studios,United States,1998,First-party developer and subsidiary of Nintendo
Revolution Software,United Kingdom,1990,
Richard Shepherd Software,UK,1982,Defunct in 1984.
Right Stuff,Japan,1990,Defunct in 1999.
Riot Games,United States,2006,Acquired by Tencent in 2011
Ripcord Games,United States,1996,Label of Panasonic Interactive Media until 1999. Stopped publishing video games in 2001. Defunct in 2009.
Rising Star Games,United Kingdom,2004,Acquired by Thunderful in 2018
Riverhillsoft,Japan,1982,Defunct in 2004.
Robinson Technologies,Japan,1989,
Robot Entertainment,United States,2009,
Rock-Ola,United States,1927,No longer publishes video games.
Rockstar Games,United States,1998,Also a video game developer. Currently a publishing label of Take-Two Interactive.
Rockstar GamesRockstar IndiaRockstar LeedsRockstar LincolnRockstar LondonRockstar New EnglandRockstar NorthRockstar San DiegoRockstar Toronto,United StatesIndiaUnited KingdomCanada,199820162004200220052008200220021999,Developer/publisher; owned by Take-Two Interactive
Rocksteady Studios,United Kingdom,2005,Subsidiary of Warner Bros. Interactive Entertainment
Romstar,United States,1984,Defunct in 1992.
Romtech,United States,1999,Defunct.
Rovio Entertainment,Finland,2003,"Publisher, developer and distributor"
Ruffian Games,United Kingdom,2008,
RuneSoft,Germany,2000,
Runic Games,United States,2008,Subsidiary of Perfect World; closed in 2017
Running with Scissors,United States,1997,
SCS Software,Czech Republic,1997,
SCi Games,UK,1988,Bought and merged with Eidos Interactive in 2005. Name retired.
SEGA Interactive R&D Division 1 (Sega AM1),Japan,1984,Division of SEGA Interactive
SEGA Interactive R&D Division 2 (Sega AM2),Japan,1985,"Division of SEGA Interactive, founded by Yu Suzuki"
SETA Corporation,Japan,1985,Defunct in 2009.
SIE Worldwide Studios,"Japan, United States, Netherlands, United Kingdom",2005,A group of first-party development studios and subsidiaries owned by Sony Interactive Entertainment
"SIMS Co., Ltd.",Japan,1991,
SNK,Japan,2001,Acquired by 37Games in 2015; game hardware and software developer/publisher/manufacture
SOFEL,Japan,1979,No longer publishes video games.
Saber Interactive,United States,2001,Acquired by Embracer Group in 2020.[31]
Safari Software,United States,1989,Acquired by Epic MegaGames in 1997.
Saga Planets,Japan,1998,
Sammy Studios,Japan,2004,"Merged with Sega as Sega Sammy Holdings,"
Samsung,South Korea,1938,No longer publishes video games.
San Diego Studio,United States,2001,Division of SIE Worldwide Studios
San Mateo Studio (formerly Foster City Studio),United States,1998,Division of SIE Worldwide Studios; relocated from Foster City to San Mateo
Sanctuary Woods,Canada,1988,Defunct in 2001.
Sand Grain Studios,Romania,2002,Dissolved in 2009[32]
Sandlot,Japan,2001,Formed by former employees of Human Entertainment
Santa Monica Studio,United States,1999,Division of SIE Worldwide Studios
Sanzaru Games,United States,2006,Acquired by Facebook in 2020.[33]
"Scavenger, Inc.",United States,1996,Defunct in 1998.
Schell Games,United States,2002,Developer and publisher
Scholastic,United States,1920,Ceased publishing video games in 2007.
Scopely,United States,2011,
Sears,United States,1886,Published under the Tele-Games label. Exited the video game industry in 1983.
Sega,"Japan,United States",1960,"Third-party (Formerly first-party) developer, publisher, and former console manufacturer; subsidiary of Sega Sammy Holdings"
Sega AM3,Japan,1991,Division of Sega
Sega CS Research and Development No. 2 (Sonic Team),Japan,1996,Division of SEGA Games
Sega Sports R&D,Japan,1994,Division of Sega
Seibu Kaihatsu,Japan,1982,Ceased publishing video games in 1998.
Sensible Software,United Kingdom,1986,"Developer, studio closed and company acquired by Codemasters in 1999"
Seven45 Studios,United States,2007,Game publishing arm of First Act. First Act was acquired by Jazwares in 2016.
Shadow Tor Studios,UK,2005,
Shanda,China,1999,Gaming unit spun off as Shanda Games (later Shengqu Games) in 2009.
Sharp Corporation,Japan,1912,No longer publishes video games.
Shengqu Games,China,1999,Acquired by Zhejiang Century Huatong in 2017
Sherman3D,Malaysia,2003,
Sherston Software,UK,1983,Defunct in 2011; now a label of Sherston Publishing Group.
Shift,Japan,1996,
Shin'en Multimedia,Germany,1999,
Shoeisha,Japan,1986,No longer publishes video games.
Shogakukan,Japan,1922,
Sierra Entertainment,United States,1979,Subsidiary of Activision; internal development ceased in 1999; closed in 2004
Silicon Beach Software,United States,1984,Acquired by Aldus in 1990.
Silicon Knights,Canada,1992,Closed in 2014
Silicon Studio,Japan,2000,They still develop game middlewares but their game contents division was sold to CREEK & RIVER.[34]
Silmarils,France,1987,Defunct in 2003.
Simon & Schuster Interactive,United States,1995,Defunct in 2003.
Simtex,United States,1988,Closed in 1997
Simulations Canada,Canada,1977,No longer publishes video games.
Sinclair Research Ltd.,UK,1973,"Brand name sold to Amstrad in 1985, which continued to use it as a label until 1992."
SingleTrac,United States,1994,Defunct in 2000
Sir-Tech,United StatesCanada,1979,
Sirius Software,United States,1980,Defunct in 1984.
Slant Six Games,Canada,2005,Defunct in 2013
Sledgehammer Games,United States,2009,Subsidiary of Activision
Slightly Mad Studios,United Kingdom,2008,Acquired by Codemasters in 2019[35]
Slipgate Ironworks,Denmark,2017,Formed by former employees of Interceptor Entertainment
Slitherine,UK,2000,"Publisher of strategy and wargames on PC, Mac, mobile and home consoles."
Slitherine Software,United Kingdom,2000,
Smilegate,South Korea,2002,
Snail,China,2000,
Snapshot Games,Bulgaria,2013,Acquired by Embracer Group in 2020.[18]
Snowblind Studios,United States,1997,Subsidiary of Warner Bros. Interactive Entertainment; defunct in 2012
Sobee Studios,Turkey,2000,Merged into TTNET
Soedesco,The Netherlands,2001,
Soft-World,Taiwan,1983,
SoftKey,United States,1978,"Known as Micro International Corp. until 1989, and as WordStar International Inc. until 1994. Changed name to The Learning Company in 1996; continued to use the SoftKey label on some software until 1999, when the company was acquired by Mattel."
SoftSide,United States,1978,Defunct in 1984.
Softape,United States,1978,Defunct in 1983.
Softdisk,United States,1981,Defunct in 2016.
Softek International Ltd,UK,1980,Defunct in 1989. Published some games under the label The Edge.
Softstar,Taiwan,1988,
Software 2000,Germany,1987,Closed in 2002
Software Dynamics,Canada,1987,
Software Projects,UK,1983,Defunct in 1985.
Sony Imagesoft,United States,1989,Initially known as CSG Imagesoft. Defunct in 1995.
Sony Interactive Entertainment,United States,1994,"First-party developer, publisher and console manufacturer"
Sony Pictures Digital,United States,1997,Publisher of mobile phone games.
Sora Ltd.,Japan,2005,
SouthPeak Games,United States,1996,
Spectral Associates,United States,1980,Published last game in 1988.
Spectravideo,United States,1981,Published Atari 2600 games under the label Spectravision. Defunct in 1988.
Spectrum HoloByte,United States,1983,Also a video game developer. Acquired by Hasbro Interactive.
Spellbound Entertainment,Germany,1994,Closed in 2012
Spiders,France,2008,Acquired by Bigben Interactive (latterly Nacon) in 2019[36]
Spike,Japan,1991,Merged with Chunsoft to become Spike Chunsoft in 2012
Spike Chunsoft,Japan,2012,The result of a merger between Spike and Chunsoft and is owned by Dwango
Spil Games,Netherlands,2001,Web game developer/publisher. Acquired by Azerion.[37][38]
Spinnaker Software,United States,1982,Acquired by The Learning Company in 1994.
Splash Damage,United Kingdom,2001,Acqured by Leyou in 2016 and then acquired by Tencent in 2020
Sproing Interactive Media,Austria,2001,Defunct in 2017; their assets were acquired by Purple Lamp Studios
Squad,Mexico,2009,
Square,Japan,1986,Also a video game developer. Merged with Enix to create Square Enix.
Square Electronic Arts,United States,1998,Owned by Square and Electronic Arts. Folded back into Square and changed to Square Enix.
Square Enix,Japan,1975,Developer/publisher; previously known as Square Co. and Enix
Square Enix Europe,UK,1990,"Also a video game developer. Acquired by SCi Games in 2005, then by Square Enix in 2009. Formerly known as Eidos Interactive until 2009."
Stainless Games,United Kingdom,1993,
Stainless Steel Studios,United States,1998,Closed in 2005
Starbreeze Studios,Sweden,1998,
Stardock,United States,1991,Developer/publisher
Starpath,United States,1981,Defunct in 1984.
Stern Electronics,United States,1977,Ceased video game production in 1985.
Sting Entertainment,Japan,1989,
Stoic Studio,United States,2011,Founded by former employees of BioWare
Storm Impact,United States,1989,Defunct in 1997.
StormRegion,Hungary,2001,Acquired by 10tacle Studios AG in 2007 and then defunct in 2008
Stormfront Studios,United States,1988,Defunct in 2008.
Strategic Simulations,United States,1979,Closed in 1994
Strategic Simulations (SSI),United States,1979,"Also a video game developer Acquired by Ubisoft, name retired."
Strategic Studies Group,Australia,1983,No longer publishes video games. Their games are now published by Matrix Games.
Strategy First,Canada,1988,
Strawdog Studios,United Kingdom,2003,
Straylight Studios,New Zealand,2004,Closed in 2009
Streamline Studios,Malaysia,2001,
Studio Liverpool,United Kingdom,1984,"Former Division of SIE Worldwide Studios; shut down by Sony on August 22, 2012"
Studio Wildcard,United States,2014,
Studio e.go!,Japan,1998,Defunct in 2009.
Sublogic,United States,1975,Acquired by Sierra in 1995.
Success,Japan,1978,
Sucker Punch Productions,United States,1997,Division of SIE Worldwide Studios since 2011
Sumo Digital,United Kingdom,2003,
Sunflowers Interactive Entertainment Software,Germany,1993,Acquired by Ubisoft in 2007.
Sunrise Interactive,Japan,1998,Defunct in 2008.
Sunsoft,Japan,1981,"Closed U.S. offices, operates out of Japan."
Sunstorm Interactive,United States,1995,Defunct in 2003
Super Fighter Team,United States,2004,
SuperVillain Studios,United States,2004,acquired by Nicalis in 2017
Supercell,Finland,2010,Subsidiary of Tencent
Superior Software,UK,1982,
Supermassive Games,United Kingdom,2008,
Supersoft,UK,1978,Ceased publishing video games in 1985.
Survios,United States,2013,
Suzy Soft,Croatia,1985,Software division of Suzy Records. Defunct in 1988.
Swingin' Ape Studios,United States,2000,Acquired by Blizzard Entertainment
Sydney Development Corporation,Canada,1978,Defunct in 1989.
Syn Sophia,Japan,1995,
Synapse Software,California,1981,Purchased by Broderbund in 1984. Defunct in 1986.
Synergistic Software,United States,1978,Acquired by Sierra in 1996; defunct in 1999.
System 3,UK,1982,Also a video game developer.
System Sacom,Japan,1981,No longer publishes video games.
SystemSoft,Japan,1985,No longer publishes video games.
SystemSoft Beta,Japan,1999,"Subsidiary of Nippon Ichi Software, successor of SystemSoft Alpha[39]"
T&E Soft,Japan,1982,Merged into Spike Chunsoft in 2013
TDK Mediactive,United States,1990,American software publishing arm of TDK. Defunct in 2003.
THQ,United States,1989,"Developer/publisher; defunct in 2013; their assets were acquired by Nordic Games, 505 Games, or Gearbox Software[41]"
THQ Nordic,AustriaSweden,2011,Developer/publisher
TT Games,UK,2005,Also a video game developer. Merger of Giant Interactive Entertainment and Traveller's Tales. Acquired by Warner Bros. Interactive.
Tactics,Japan,1997,"Acquired by Nexton in 1999, which has continued to use the Tactics brand on some games."
Tag Games,United Kingdom,2006,
Taito,Japan,1953,Developer/publisher; acquired by Square Enix
Takara,Japan,1955,Merged with Tomy in 2006.
Take-Two Interactive,United States,1993,"Also owns publishers Rockstar Games, 2K Games (2K Sports), and Private Division. Also a video game developer."
TaleWorlds Entertainment,Turkey,2005,
TalonSoft,United States,1995,"Also a video game developer. Acquired by Take-Two Interactive, name retired."
Tamsoft,Japan,1992,
Tandy Corporation,United States,1919,Ceased publishing games in 1989.
Tango Gameworks,Japan,2010,"Acquired by ZeniMax Media in 2010, and founded by Shinji Mikami."
Tantalus Media,Australia,1994,
Tantrumedia,United Kingdom,2003,
Tarsier Studios,Sweden,2004,Acquired by Embracer Group in 2019.[40]
Tate Multimedia,Poland,2002,
Taxan,Japan,1981,No longer publishes video games.
Team Bondi,Australia,2003,Closed in 2011
Team Ico,Japan,1997,Division of Japan Studio; Their staffs moved to genDESIGN [ja]
Team Ninja,Japan,1995,Division of Koei Tecmo Games; formerly a division of Tecmo
Team Shanghai Alice,Japan,1996,
Team17,United Kingdom,1990,
TecMagik,United States,1991,Also a video game developer.
Techland,Poland,1991,Developer/publisher
Technical Group Laboratory,Japan,1984,Also known as TGL.
Technology and Entertainment Software,Japan,1982,Also known as T&E Soft. Ceased publishing video games in 2002.
Technos Japan,Japan,1981,Also a video game developer. Assets acquired by Atlus.
Technosoft,Japan,1980,Acquired by Twenty-one Company in 2001.
Tecmo,Japan,1967,Tecmo and Koei co-founded Koei Tecmo Holdings in 2009 and Tecmo was merged into Koei Tecmo Games in 2010
Tectoy,Brazil,1987,
Telarium,United States,1984,Defunct in 1987.
Telenet Japan,Japan,1983,Defunct in 2007.
Telesys,United States,1982,Defunct in 1984.
Telltale Games,United States,2004,Founded by former employees of LucasArts
Tencent,China,1998,"Developer, publisher, online services company"
Tencent Games,China,2003,Division of Tencent Interactive Entertainment
Tengen,United States,1987,Console publishing arm of Atari Games. Folded into Time Warner Interactive in 1994.
Tequila Works,Spain,2009,
Terminal Reality,United States,1994,Closed in 2013
Tetris Online,United States,2006,Closed in 2019
Texas Instruments,United States,1930,Exited the video game industry in 1984.
Teyon,Poland,2006,
Thalamus Ltd,UK,1986,Defunct in 1993.
Thalion Software,Germany,1988,Defunct in 1994.
Thatgamecompany,United States,2006,
The 3DO Company,United States,1991,Also a video game and video game console developer.
The Adventure Company,Canada,2002,"Label of DreamCatcher Interactive until 2006, of JoWooD Productions Software from then until 2011, and of Nordic Games since then."
The Bitmap Brothers,United Kingdom,1987,Dissolved.[4][5] Their portfolio was acquired by Rebellion Developments in 2019.[6]
The Chinese Room,United Kingdom,2007,Subsidiary of Sumo Digital
The Coalition,Canada,2010,Subsidiary of Microsoft Studios
The Coca-Cola Company,Georgia,1886,No longer publishes video games.
The Dovetail Group,United States,c. 1984,Early developer of music video games
The Elektrik Keyboard,United States,1978,Stopped publishing video games in 1979.
The Farm 51,Poland,2005,
The Fourth Dimension,UK,1989,Also known as The 4th Dimension or 4D. Defunct in 2004.
The Game Factory,Denmark,2004,Defunct.
The Initiative,United States,2018,Subsidiary of Microsoft Studios
The Learning Company,United States,1980,"Merged with Mattel Interactive, no longer publishes video games"
The Pokémon Company,Japan,1998,"Joint venture between Game Freak, Nintendo, and Creatures"
The Vision Factory,The Netherlands,1993,Defunct in 2002.
The9,China,1999,Former regional publisher for World of Warcraft in China
Thin Chen Enterprise,Taiwan,1988,"Also used the labels Sachen, Commin, and Joy Van. Defunct."
Thinking Rabbit,Japan,1982,Defunct.
Thorn EMI Computer Software,UK,1981,Software publishing arm of Thorn EMI. Spun off and reestablished as Creative Sparks in 1984.
Three Fields Entertainment,United Kingdom,2014,Founded by the founders of Criterion Games
Three Rings Design,United States,2001,
Three-Sixty Pacific,United States,1987,Defunct in 1994.
TiMi Studios,China,2008,Subsidiary of Tencent Games
Tiertex Design Studios,UK,1987,Last game published in 2003.
Tiger Electronics,United States,1978,Also a video game developer. Acquired by Hasbro in 1998.
Time Warner Interactive,United States,1993,Merged into Midway Games West in 1996.
TimeGate Studios,United States,1998,
Titus Interactive,France,1985,
Toaplan,Japan,1984,Developer of arcade games; went bankrupt and closed in 1994
ToeJam & Earl Productions,United States,1989 (as Johnson Voorsanger Productions),Founded by Mark Voorsanger and Greg Johnson; became defunct in 2003
Toei Animation,Japan,1956,
Toho,Japan,1932,No longer publishes video games.
Tokuma Shoten,Japan,1954,No longer publishes video games.
Tokyo RPG Factory,Japan,2014,Subsidiary of Square Enix
Tokyo Shoseki,Japan,1909,No longer publishes video games.
Tommo,California,1990,
Tomy (Takara Tomy),Japan,1924,Merged with Takara in 2006.
Tonkin House,Japan,1986,Defunct in 2008.
TopWare Interactive,Germany,1995,Publisher (developing in Reality Pump Studios division)
Topo Soft,Spain,1987,Defunct in 1994.
Topologika,UK,1983,Defunct in 2013.
Torpex Games,United States,2005,
Torus Games,Australia,1994,
Tose,Japan,1979,
Toshiba EMI,Japan,1960,Defunct in 2013.
Towa Chiki,Japan,1986,Defunct in 2001.
Toys for Bob,United States,1989,Subsidiary of Activision
Tradewest,United States,1986,"Acquired by Midway Games, name retired."
Transmission Games,Australia,1996,Closed in 2009
Trapdoor,Canada,2010,
Traveller's Tales,United Kingdom,1990,Subsidiary of TT Games
Treasure,Japan,1992,
Treco,California,1990,Defunct in 1993.
Treyarch,United States,1996,Acquired by Activision in 2001.
Tri Synergy,United States,1996,
Triangle Service,Japan,2002,
Triffix Entertainment,Canada,1991,Last game published in 1992.
Trilobyte Software,United States,1990,"Defunct in 1999, re-established in 2010."
Trion Worlds,United States,2006,Defunct in 2018; their assets were acquired by Gamigo [de][42]
Tripwire Interactive,United States,2005,
Triumph Studios,Netherlands,1997,Acquired by Paradox Interactive
Tru Blu Entertainment,Australia,1999,
Tsunami Games,United States,1991,Sold to Tsunami Media Corporation in 1999.
Turn 10 Studios,United States,2001,Subsidiary of Microsoft Studios
Turtle Rock Studios,United States,2002,
Twilight Frontier,Japan,2002,
Two Point Studios,United Kingdom,2016,Formed by former employees of Lionhead Studios; acquired by Sega in 2019
Two Tribes,Netherlands,2000,
Tynesoft,UK,1983,Exited the video game industry in 1991.
Type-Moon,Japan,2000,
Typhoon Games (HK),China,2001,Subsidiary of Typhoon Entertainment (Asia)
U.S. Gold,UK,1984,Also a video game developer. Acquired by Eidos Interactive.
UEP Systems,Japan,1985,Defunct in 2001
UFO Interactive Games,California,1999,Label of Tommo.
US Games,United States,1978,Acquired by Quaker Oats in 1982. Defunct in 1983.
Ubisoft,France,1986,Developer/publisher
Ubisoft Blue Byte,Germany,1988,Acquired by Ubisoft
Ubisoft Reflections,United Kingdom,1984,Acquired by Ubisoft
Ultimate Play the Game,United Kingdom,1982,Predecessor to Rare; Defunct in 1988
Ultra Games,United States,1988,Shell company and publishing label for Konami. Name retired in 1992.
Ultrasoft,Slovakia,1989,Defunct in 1998.
Undead Labs,United States,2009,Acquired by Microsoft Studios in 2018
United Front Games,Canada,2006,Defunct in 2016
United Game Artists,Japan,1996,Subsidiary of Sega
United States Army,United States,1775,
Universal Entertainment Corporation,Japan,1969,
Universomo,Finland,2002,Defunct in 2010
UserJoy Technology,Taiwan,1995,
VAP,Japan,1981,No longer publishes video games.
VEB Polytechnik,Germany,1870,Defunct in 2006.
Valcon Games,United States,2005,No longer active.
Valve,United States,1996,"Developer, publisher and distributor"
Vanillaware,Japan,2002,
Vanpool,Japan,1999,Formed by former employees of Love-de-Lic
Varie,Japan,1986,Defunct in 1997.
Vectorbeam,United States,1978,Acquired by Cinematronics in 1980.
Venan Entertainment,United States,2002,Their assets were acquired by Megaspace Industries.
Viacom,United States,1952,Published video games under the Viacom New Media label. Company split in 2005.
Vic Tokai,Japan,1977,No longer publishes video games.
Vicarious Visions,United States,1990,Acquired by Activision in 2004.
Victor Interactive,Japan,1970,Subsidiary of JVC. Merged with Pack-In-Video in 1996. Acquired by Marvelous Entertainment in 2003; defunct in 2007.
Vigil Games,United States,2005,Subsidiary of THQ; defunct in 2013
Virgin Interactive,UK,1983,"Also a video game developer. Known as Virgin Games until 1993. American branch acquired and closed by Electronic Arts in 1998, European branch acquired by Titus Software in 1999, and re-branded to Avalon Interactive in 2003. Stopped publishing games after 2002."
Virgin Play,Spain,1995,Known as Virgin Interactive Espana SA until 2002. Filed for liquidation in 2009.
Virtual Heroes,United States,2004,
Virtual Programming,UK,2000,
Virtuos,Singapore,2004,
Visceral Games,United States,1998,"Formerly known as EA Redwood Shores, former in-house development studio and subsidiary of Electronic Arts, closed in 2017."
Visco Corporation,Japan,1982,No longer publishes video games.
Visual Concepts,United States,1988,Subsidiary of 2K Sports
VisualArt's,Japan,1991,
Vivarium Inc.,Japan,1993,"Previously known as OPeNBooK Co., Ltd."
Vivendi Games,California United States,1993,Merged with Activision to form Activision Blizzard in 2008.
Vortex Software,UK,1981,Defunct in 1990.
Vostok Games,Ukraine,2012,"Vostok Games was founded in March 2012 by former employees of GSC Game World, following that firm's closing"
VoxelStorm,United Kingdom,2012,
Vulcan Software,UK,1994,
WARP,Japan,1994,"Exited the video game industry in 1999, defunct in 2005."
WB Games - Avalanche (formerly Avalanche Software),United States,1995,Subsidiary of Disney Interactive Studios; defunct in 2016Relaunched by Warner Bros. in 2017.
WB Games Boston (formerly Turbine),United States,1994,Subsidiary of Warner Bros. Interactive Entertainment
Wahoo Studios,United States,2001,
Wales Interactive,UK,2012,Also a video game developer.
Walnut Creek CDROM,United States,1991,Merged with Berkeley Software Design in 2000.
Wanadoo Edition,France,2000,Software publishing arm of Wanadoo. Defunct in 2003.
Warashi,Japan,1995,
Wargaming,CyprusBelarus,1998,Developer/publisher
Wargaming Saint Petersburg,Russia,1991,Subsidiary of Wargaming
Wargaming Seattle,United States,1998,Subsidiary of Wargaming
Warhorse Studios,Czech Republic,2011,Acquired by Koch Media in 2019
Warner Bros. Interactive,United States,1993,Also publishes under the Portkey Games label.
Warner Bros. Interactive Entertainment,United States,1988,Division of Warner Bros. Entertainment which is a subsidiary of WarnerMedia
WeMade,South Korea,2000,
Webfoot Technologies,United States,1993,Creators of many Dragon Ball Z games for Atari; specializes in Nintendo platforms
Webzen,South Korea,2000,Also a video game developer.
Westone Bit Entertainment,Japan,1986,Bankrupt and became defunct in 2014
Westwood Studios,United States,1985,Acquired by Electronic Arts in 1998 and closed in 2003.
Wideload Games,United States,2003,Subsidiary of Disney Interactive Studios; closed in 2014
WildTangent,United States,1998,Acquired by Gamigo AG [de] in 2019.
Wildfire Studios,Australia,1995,
Williams Electronics,United States,1943,Exited the video game industry in 1998.
Windham Classics,United States,1984,Published last game in 1985.
Windmill,Japan,2002,Publishes under the Windmill Oasis label.
Windmill Software,Canada,1982,Defunct in 1984.
Winkysoft,Japan,1983,Defunct in 2015.
Wisdom Tree,United States,1989,Known for Christian-themed games.
WizardWorks,United States,1990,Acquired by GT Interactive in 1996. Defunct in 2004.
Wizet studio (Nexon development 1st division),South Korea,1999,Acquired by Nexon and became to its division
Wolf Team,Japan,1986,Acquired by Namco in 2003.
Wolfire Games,United States,2003,
Working Designs,United States,1986,Specialized in the localization of Japan-native RPGs.
World Forge,Russia,2004,Founded by Burut Creative Team employees.
XPEC Entertainment,Taiwan,2000,Developer/publisher
XS Games,United States,2002,
XSEED Games,United States,2005,
Xbox Game Studios,United States,2002,"First-party developer, publisher, and console manufacturer; established as Microsoft Game Studios"
Xicat Interactive,United States,1997,Defunct in 2005.
Xonox,United States,1983,Defunct in 1984.
Yager Development,Germany,1999,
Yeti,Japan,2005,
Yojigen,Japan,1994,Defunct.
Yonezawa PR21,Japan,1988,Also known as Party Room 21. Acquired by Sega in 1994; defunct in 1998.
Yuke's,Japan,1993,
Yutaka,Japan,1990,Defunct in 2003 following merger with Popy.
ZAPiT Games,Canada,2003,Defunct.
Zaccaria,Italy,1974,Defunct in 1988.
Zen Studios,Hungary,2003,Acquired by Embracer Group in 2020.[18]
ZeniMax Media,United States,1999,Also owns publisher Bethesda Softworks. Acquired by Microsoft in 2020
ZeniMax Online Studios,United States,2007,Subsidiary of ZeniMax Media Inc
Zenobi,UK,1982,
Zeppelin Games,UK,1987,"Acquired by Merit Studios Inc. in 1994 and renamed to Merit Studios Europe. Subsequently, regained independence in 1996 and reestablished itself as Eutechnyx. No longer publishes its own games."
Zigurat,Spain,1986,Published last game in 1992.
Zimag,United States,1982,Publishing label of Magnetic Tape International. Defunct in 1983.
Zipper Interactive,United States,1995,Shut down in 2012 by Sony Computer Entertainment
Zombie Studios,United States,1994,
Zoom,Japan,1988,
ZootFly,Slovenia,2002,Acquired by Elektroncek
Zushi Games,UK,1999,
Zuxxez Entertainment,Germany,2001,Acquired TopWare Interactive in 2001. Renamed itself to TopWare Interactive in 2005. Name retired.
Zynga,United States,2007,Social network game developer.
dB-SOFT,Japan,1980,Defunct in 2001.
devCAT Studios (Nexon development 3rd division),South Korea,2001,Division of Nexon Korea
eGames,United States,1992,Published games under the Cinemaware Marquee label. Acquired by Tamino Minerals in 2012.
feelplus,Japan,1992,Merged into AQ Interactive
h.a.n.d.,Japan,1993,
iQue,China,2002,Joint venture between Wei Yen and Nintendo.
id Software,United States,1991,"Acquired by ZeniMax Media on June 24, 2009"
inXile Entertainment,United States,2002,Founded by one of Interplay Entertainment founders; acquired by Microsoft Studios in 2018
index+,France,1992,Merged with France Telecom Multimedia in 2000 to become Wanadoo Edition.
indiePub Entertainment,United States,2008,
indieszero,Japan,1997,
magnussoft,Germany,1984,
miHoYo,China,2012,"Developer and publisher; founded by Cai Haoyu, Liu Wei, and Luo Yuhao, three former students from Shanghai Jiao Tong University"
n-Space,United States,1994,
reLINE Software,Germany,1987,Defunct in 2004.
skip Ltd.,Japan,2000,Formed by former employees of Love-de-Lic
tri-Ace,Japan,1995,Acquired by Nepro Japan (currently NJ Holdings [ja]) in 2015
tri-Crescendo,Japan,1999,
Âge,Japan,1999,"Division of Acid Co., Ltd."
Étranges Libellules,France,1994,
